Curso,Unidade Curricular,Turno,Turma,Inscritos no turno,Dia da semana,Hora inÃ­cio da aula,Hora fim da aula,Data da aula,Sala atribuÃ­da Ã  aula,LotaÃ§Ã£o da sala
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Sex,13:00:00,14:30:00,02/12/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Qua,13:00:00,14:30:00,23/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Qua,13:00:00,14:30:00,16/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Qua,13:00:00,14:30:00,09/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Qua,13:00:00,14:30:00,02/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,13:00:00,14:30:00,28/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,13:00:00,14:30:00,21/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,13:00:00,14:30:00,14/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,13:00:00,14:30:00,07/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Ter,13:00:00,14:30:00,29/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Ter,13:00:00,14:30:00,22/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Ter,13:00:00,14:30:00,15/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Ter,13:00:00,14:30:00,08/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Sex,10:30:00,12:00:00,04/11/2022,AA2.26,30
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Sex,12:00:00,13:30:00,04/11/2022,AA2.26,30
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Sex,14:30:00,16:00:00,02/12/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,14:30:00,16:00:00,28/11/2022,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,14:30:00,16:00:00,27/04/2023,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,14:30:00,16:00:00,25/04/2023,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,14:30:00,16:00:00,26/04/2023,AA2.25,34
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,14:30:00,16:00:00,26/04/2023,AA2.25,34
